id,name,age,city,salary,join_date
1,Melody Cunningham,56,New York,38392,2022-01-20
2,Laura French,46,New York,60535,2022-11-18
3,Brandi Reed,32,Chicago,108603,2015-03-24
4,Douglas Kennedy,25,Los Angeles,143569,2016-11-16
5,Tammy Evans,38,Los Angeles,82256,2015-04-15
6,Carlos Lee,56,Los Angeles,119135,2016-02-26
7,Patricia Stewart,36,New York,65222,2016-02-23
8,Ethan Olson,40,Phoenix,107373,2024-03-26
9,Joan Harris,28,New York,109575,2016-11-28
10,Ricky Koch,28,Phoenix,126354,2017-09-16
11,Jeffrey Oconnor DDS,41,Houston,114651,2014-07-19
12,Kristen Kirk,53,New York,93335,2018-11-09
13,Kristy Ross,57,New York,40965,2020-09-04
14,Timothy Walker,41,New York,54538,2021-07-21
15,Allison Nguyen,20,Los Angeles,138066,2022-01-12
16,Catherine Sosa,39,Los Angeles,100592,2019-08-01
17,Amanda Matthews,19,Phoenix,128018,2017-05-15
18,Lisa Khan,41,Phoenix,143252,2015-03-07
19,Francis Fields MD,47,New York,38110,2014-09-15
20,Colleen Gordon,55,Phoenix,109309,2016-10-30
21,Heather Meyers,19,Los Angeles,57266,2018-04-23
22,Mark Hahn,38,Phoenix,82992,2020-07-03
23,Kevin Brady,50,Houston,112948,2021-05-17
24,John Martin,29,Los Angeles,128806,2015-04-28
25,Rick Cruz,39,Houston,36910,2024-04-06
26,Patrick Ho,42,Phoenix,140989,2014-07-31
27,Donna Burnett,44,Chicago,120982,2016-08-27
28,Paul Marquez,59,New York,149176,2021-04-26
29,Mrs. Kelli Butler,45,Los Angeles,30206,2023-10-03
30,Barbara Oneal DDS,33,Houston,117054,2022-11-07
31,Tara Bauer,32,Chicago,117897,2015-01-06
32,Jim Sanchez,20,Chicago,53419,2019-09-01
33,Drew Wallace,54,Los Angeles,80636,2022-11-06
34,Jeremy Moore,24,Los Angeles,144238,2021-08-07
35,Joseph Jarvis,38,Chicago,80015,2018-08-27
36,Ronnie Phillips,26,New York,147478,2021-11-05
37,Tyler Rose,56,New York,137059,2016-09-29
38,Kevin Wong,35,Houston,84268,2018-02-09
39,Laura Robinson,21,New York,140687,2017-02-04
40,Erica Webb,42,Chicago,117939,2016-10-09
41,Nicole Hall DDS,31,Chicago,48141,2023-09-23
42,Edward Kline,26,Phoenix,110356,2015-08-07
43,Paul Hayes,43,Chicago,135878,2016-09-12
44,Sheri Wells,19,New York,101910,2021-11-16
45,Victor Morrison,37,Houston,86044,2020-09-17
46,Sarah Greene,45,Phoenix,97214,2015-09-24
47,Anthony Chase,24,New York,147930,2014-09-17
48,Ashley Bailey,25,Houston,149324,2017-09-22
49,Vanessa Le,52,New York,63827,2019-02-20
50,Ethan Perez,31,Phoenix,85820,2021-02-21
51,Michelle Oliver,34,Chicago,92623,2019-09-19
52,Michael Smith,53,Phoenix,111734,2015-07-25
53,Cindy Dalton,57,Chicago,105450,2016-02-12
54,Stephen Lowe,21,Phoenix,123426,2015-01-29
55,Joan Morrison,19,Los Angeles,147845,2019-11-08
56,Patricia Hernandez,23,New York,52299,2020-07-01
57,Anna Kemp,59,New York,73585,2018-05-06
58,Donna Rhodes,21,Los Angeles,139225,2021-09-15
59,Lance Perry,46,Chicago,94044,2022-03-11
60,Sean Morris,35,New York,72557,2020-02-25
61,Robert Wilkerson,43,Los Angeles,79080,2019-02-19
62,Amanda Rodriguez,51,New York,139556,2022-10-01
63,Diana Jones,27,Houston,32693,2016-03-03
64,Julie Hicks,53,Chicago,125003,2017-11-04
65,Brenda Meyer,31,Houston,125259,2023-03-20
66,Casey Johnson,48,Chicago,142235,2022-04-19
67,Elizabeth Francis DDS,32,Los Angeles,99163,2015-01-08
68,Sharon Chapman,25,Chicago,55939,2016-08-16
69,Joseph Williams,31,Chicago,78925,2020-10-02
70,James Gilmore,40,Los Angeles,72941,2021-04-19
71,Aaron Deleon,57,Chicago,51834,2016-06-22
72,Larry Mueller,38,New York,48047,2018-09-17
73,Pedro Cohen,33,Phoenix,56105,2022-10-27
74,Dana Gonzales,35,Los Angeles,105766,2021-07-31
75,Alan Cooper,41,Phoenix,45707,2020-10-17
76,Anthony Bowman,43,Los Angeles,51976,2018-03-29
77,Michael Jones,42,Los Angeles,74262,2023-12-20
78,Jake Fritz,58,Houston,53776,2014-10-14
79,Craig Patterson,46,Houston,60080,2015-08-08
80,Sharon Guzman,32,Chicago,96842,2022-02-18
81,Crystal Little,18,Phoenix,91373,2017-01-25
82,Kenneth Harrington,42,Los Angeles,36776,2021-06-18
83,Jennifer King,24,Chicago,122787,2015-07-25
84,Samantha Barajas,26,New York,85016,2020-05-23
85,Kimberly Greer,41,Los Angeles,39474,2019-08-19
86,Benjamin Logan,18,New York,135830,2021-03-23
87,Diana Riley,25,Chicago,88053,2019-06-22
88,Stephen Thomas,41,Houston,51959,2016-10-04
89,Whitney Barnes,28,Chicago,35530,2020-12-29
90,Steven Hughes,34,New York,124856,2015-11-29
91,Kenneth Short,25,Los Angeles,149101,2020-05-11
92,Jessica Nelson,52,Phoenix,33748,2022-04-03
93,Travis Dennis,52,Chicago,127504,2021-09-26
94,Dr. Michael Frazier DDS,50,Los Angeles,128098,2020-03-01
95,Kimberly Benjamin,22,Houston,43545,2019-01-14
96,Amy Daniels,59,Houston,96199,2020-02-01
97,Karen Reyes,56,Houston,64766,2017-09-12
98,Patrick Maddox,58,Los Angeles,103530,2023-05-12
99,Christopher Perez,45,Chicago,123557,2019-10-22
100,Jimmy Fleming,24,Los Angeles,91087,2019-06-09
